scorer,team,opponent,minute,score
Günther,TSV Rudow Berlin,FC Viktoria 1889 Berlin II,76,1:2
Heimur,BFC Meteor 06,VfB Concordia Britz 1916,19,1:0
Böhm,BFC Meteor 06,VfB Concordia Britz 1916,20,2:0
Böhm,BFC Meteor 06,VfB Concordia Britz 1916,60,3:0
Gashi,BFC Preussen II,Berliner SV 1892,50,1:1
Fikic,BFC Preussen II,Berliner SV 1892,69,2:1
Gajda,BFC Preussen II,Berliner SV 1892,90,3:1
Brei,SV Stern Britz 1889,Türkiyemspor Berlin,77,1:0
Ondo Mangue,Köpenicker FC,FC Internationale Berlin 1980,45,1:0
Heydemann,BSV Eintracht Mahlsdorf II,Berliner SC II,22,1:0
Völckert,BSV Eintracht Mahlsdorf II,Berliner SC II,34,2:0
Halilcevic,BSV Eintracht Mahlsdorf II,Berliner SC II,76,3:1
Bubner,SC Borsigwalde 1910,BSV Al-Dersimspor,61,1:0
Heßler,FSV Berolina Stralau 1901,SV Empor Berlin II,90,1:1
Mendes,FC Viktoria 1889 Berlin II,TSV Rudow Berlin,11,0:1
Weinlein,FC Viktoria 1889 Berlin II,TSV Rudow Berlin,24,0:2
Yassine,VfB Concordia Britz 1916,BFC Meteor 06,74,3:1
Bruns,VfB Concordia Britz 1916,BFC Meteor 06,90,3:2
Elsaadawi,Berliner SV 1892,BFC Preussen II,7,0:1
Avendano Leon,FC Internationale Berlin 1980,Köpenicker FC,75,1:1
Ibrom,Berliner SC II,BSV Eintracht Mahlsdorf II,53,2:1
Ettah,SV Empor Berlin II,FSV Berolina Stralau 1901,39,0:1
Topal,FC Internationale Berlin 1980,BFC Preussen II,51,1:0
Littbarski,FC Viktoria 1889 Berlin II,BFC Meteor 06,6,1:0
Thiele,FC Viktoria 1889 Berlin II,BFC Meteor 06,15,2:0
Manssour,FC Viktoria 1889 Berlin II,BFC Meteor 06,43,3:2
Fildanboy,Berliner SC II,SC Borsigwalde 1910,70,1:0
Auctun,VfB Concordia Britz 1916,FSV Berolina Stralau 1901,81,1:1
Awag,BSV Al-Dersimspor,SV Stern Britz 1889,34,1:0
Baba,BSV Al-Dersimspor,SV Stern Britz 1889,42,2:0
Baba,BSV Al-Dersimspor,SV Stern Britz 1889,49,3:0
Zagmouz,BSV Al-Dersimspor,SV Stern Britz 1889,70,4:0
Stolp,SV Empor Berlin II,Köpenicker FC,21,1:1
Mucuk,BFC Preussen II,FC Internationale Berlin 1980,79,1:1
Mucuk,BFC Preussen II,FC Internationale Berlin 1980,86,1:2
Okoronkwo,BFC Meteor 06,FC Viktoria 1889 Berlin II,28,2:1
Heimur,BFC Meteor 06,FC Viktoria 1889 Berlin II,29,2:2
Halilcevic,BSV Eintracht Mahlsdorf II,Berliner SV 1892,61,0:1
Halilcevic,BSV Eintracht Mahlsdorf II,Berliner SV 1892,71,0:2
Stöver,BSV Eintracht Mahlsdorf II,Berliner SV 1892,78,0:3
Völckert,BSV Eintracht Mahlsdorf II,Berliner SV 1892,83,0:4
